S.no,data_source,data_collection_date,url,other_metadata,tender_published_Date,tender_closing_date,tender_opening_date,tender_tile_and_id,tender_origanisation
1,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain
2,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:55 PM,13-Mar-2023 03:00 PM,14-Mar-2023 03:00 PM,"[Construction of 3L River Bridge At Bhukhi Khadhi (Ch.176.420) And Amravati Khadi (Ch.202.845), Additionally Const Of BHS Service Road From Ch.114.470 To 116.180 And Ch.186.885 To 190.675 for Blackspots On Vad-Surat Section Of  NH-48  on EPC Mode.]
																				[NHAI/RO-GNR/Bhukhi-Amravati /NH-48/2023][2023_NHAI_144712_1]",National Highways Authority of India||RO-Gandhinagar - NHAI
3,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:55 PM,21-Feb-2023 11:00 AM,22-Feb-2023 11:30 AM,"[Engagement of user fee collection agency on the basis of CB for Hebbalu FP at Km.237.650 for the section of Doddasiddanahally to Hadadi in the state Karnataka]
																				[NHAI/13013/547/ CO/22-23/CB/ Hebbalu FP][2023_NHAI_144715_1]",National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
4,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:55 PM,09-Mar-2023 02:00 PM,10-Mar-2023 02:00 PM,"[SKM/B378-999-PK-T-3001/1034]
																				[SKM/B378-999-PK-T-3001/1034 ][2023_GAIL_144679_1]",GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
5,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:50 PM,21-Feb-2023 03:00 PM,22-Feb-2023 03:00 PM,"[LIGHTWAVE COMPONENT ANALYZER (50GHz - 4 PORTS)]
																				[EE/BIJOY/07/IOE23/LIGHTWAVEANA][2023_IITM_144711_1]",Indian Institute of Technology Madras||Project Purchase - IITM
6,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:50 PM,21-Feb-2023 03:00 PM,22-Feb-2023 03:00 PM,"[50 GHz HIGH RESOLUTION REAL TIME OSCILLOSCOPE]
																				[EE/BIJOY/08/IOE23/50GHZHIGHOSC][2023_IITM_144714_1]",Indian Institute of Technology Madras||Project Purchase - IITM
7,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,14-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[MCD/EE-(M)-IV-Sh.S/22-23/12-2]
																				[MCD/EE-(M)-IV-Sh.S/22-23/12-2][2023_MCD_144697_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
8,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 01]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
9,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,14-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[MCD/EE-(M)-IV-Sh.S/22-23/12-1]
																				[MCD/EE-(M)-IV-Sh.S/22-23/12-1][2023_MCD_144696_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
10,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,24-Feb-2023 06:00 PM,27-Feb-2023 12:00 PM,"[LAYING AND CONSTRUCTION OF  4IN NB UG STEEL PIPELINE NETWORK AND ASSOCIATEDWORKS AT IOAGPL MALAPPURAM]
																				[IOAGPL/STLYNG/OPEN/2022-23/48][2023_AGPL_144705_1]",Indian Oil-Adani Gas Private Limited
